batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Rohit Sharma,c Barresi b de Leede,61,54,74,8,2,112.96,India,45th_match
Shubman Gill,c Nidamanuru b van Meekeren,51,32,49,3,4,159.37,India,45th_match
Virat Kohli,b van der Merwe,51,56,69,5,1,91.07,India,45th_match
Shreyas Iyer,not out,128,94,145,10,5,136.17,India,45th_match
KL Rahul,c Engelbrecht b de Leede,102,64,98,11,4,159.37,India,45th_match
Suryakumar Yadav,not out,2,1,1,0,0,200.0,India,45th_match
Wesley Barresi,c Rahul b Mohammed Siraj,4,5,8,0,0,80.0,Netherlands,45th_match
Max O'Dowd,b Jadeja,30,42,68,3,1,71.42,Netherlands,45th_match
Colin Ackermann,lbw b Kuldeep Yadav,35,32,46,6,0,109.37,Netherlands,45th_match
Sybrand Engelbrecht,b Mohammed Siraj,45,80,87,4,0,56.25,Netherlands,45th_match
Scott Edwards,c Rahul b Kohli,17,30,27,1,0,56.66,Netherlands,45th_match
Bas de Leede,b Bumrah,12,21,23,1,0,57.14,Netherlands,45th_match
Teja Nidamanuru,c Mohammed Shami b Sharma,54,39,65,1,6,138.46,Netherlands,45th_match
Logan van Beek,b Kuldeep Yadav,16,15,20,2,0,106.66,Netherlands,45th_match
Roelof van der Merwe,c Mohammed Shami b Jadeja,16,8,5,1,2,200.0,Netherlands,45th_match
Aryan Dutt,b Bumrah,5,11,9,0,0,45.45,Netherlands,45th_match
Paul van Meekeren,not out,3,4,7,0,0,75.0,Netherlands,45th_match
