bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Mustafizur Rahman,10.0,0,70,0,7.0,26,6,3,0,0,Bangladesh,7th_match
Taskin Ahmed,6.0,0,38,1,6.33,19,4,1,2,0,Bangladesh,7th_match
Shoriful Islam,10.0,0,75,3,7.5,25,11,0,1,0,Bangladesh,7th_match
Mahedi Hasan,8.0,0,71,4,8.87,17,10,1,0,0,Bangladesh,7th_match
Shakib Al Hasan,10.0,0,52,1,5.2,25,4,0,1,0,Bangladesh,7th_match
Mehidy Hasan Miraz,6.0,0,55,0,9.16,10,6,2,0,0,Bangladesh,7th_match
Chris Woakes,8.0,0,49,2,6.12,24,6,0,0,0,England,7th_match
Reece Topley,10.0,1,43,4,4.3,35,3,1,0,0,England,7th_match
Sam Curran,7.2,0,47,1,6.4,15,5,0,2,0,England,7th_match
Mark Wood,10.0,0,29,1,2.9,38,2,0,1,0,England,7th_match
Adil Rashid,10.0,0,42,1,4.2,31,1,1,0,0,England,7th_match
Liam Livingstone,3.0,0,13,1,4.33,11,0,1,0,0,England,7th_match
